entity_name,in_delta_lake_ddl,in_hive_ddl,in_dictionary,in_readme,present_in_count,status,dict_physical_name
account,1,1,0,1,3,WARNING,
account_relationship,0,0,1,0,1,CRITICAL,cat_account_relationship
asset_class_ref,0,0,1,0,1,CRITICAL,cat_asset_class_ref
asset_class_reference,1,1,0,1,3,WARNING,
clock_sync_audit,1,1,1,1,4,COMPLETE,cat_clock_sync_audit
corporate_action_linkage,1,1,0,1,3,WARNING,
customer,0,0,1,0,1,CRITICAL,cat_customer
digital_asset_attributes,1,1,0,1,3,WARNING,
equity_attributes,1,1,0,1,3,WARNING,
error_correction,1,1,1,1,4,COMPLETE,cat_error_correction
event_type_ref,0,0,1,0,1,CRITICAL,cat_event_type_ref
event_type_reference,1,1,0,1,3,WARNING,
fixed_income_attributes,1,1,0,1,3,WARNING,
instrument,1,1,1,1,4,COMPLETE,cat_instrument
instrument_classification,1,1,0,1,3,WARNING,
instrument_identifier,1,1,0,1,3,WARNING,
instrument_listing,1,1,0,1,3,WARNING,
legal_entity,1,1,0,1,3,WARNING,
natural_person,1,1,0,1,3,WARNING,
option_attributes,1,1,0,1,3,WARNING,
options_series,0,0,1,0,1,CRITICAL,cat_options_series
order_event,1,1,1,1,4,COMPLETE,cat_order_event
order_modification,1,1,1,1,4,COMPLETE,cat_order_modification
order_route,1,1,1,1,4,COMPLETE,cat_order_route
participant_firm,0,0,1,0,1,CRITICAL,cat_participant_firm
party,1,1,0,1,3,WARNING,
party_address,1,1,0,1,3,WARNING,
party_classification,1,1,0,1,3,WARNING,
party_identifier,1,1,0,1,3,WARNING,
party_relationship,1,1,0,1,3,WARNING,
party_role,1,1,0,1,3,WARNING,
quote_event,1,1,1,1,4,COMPLETE,cat_quote_event
regulatory_id_xref,0,0,1,0,1,CRITICAL,cat_regulatory_id_xref
reporting_submission,1,1,1,1,4,COMPLETE,cat_reporting_submission
venue,1,1,1,1,4,COMPLETE,cat_venue
venue_asset_class,1,1,0,1,3,WARNING,
