gold_table,gold_column,reason,audit_finding,line
fact_order_events,action_type,phantom_table,F3.1,2
fact_order_events,error_roe_id,phantom_table,F3.1,3
fact_order_events,firm_roe_id,phantom_table,F3.1,4
fact_order_events,event_type_code,phantom_table,F3.1,5
fact_order_events,cat_reporter_imid,phantom_table,F3.1,6
fact_order_events,order_key_date,phantom_table,F3.1,7
fact_order_events,cat_order_id,phantom_table,F3.1,8
fact_order_events,symbol,phantom_table,F3.1,9
fact_order_events,event_timestamp,phantom_table,F3.1,10
fact_order_events,manual_flag,phantom_table,F3.1,11
fact_order_events,electronic_dup_flag,phantom_table,F3.1,12
fact_order_events,electronic_timestamp,phantom_table,F3.1,13
fact_order_events,manual_order_key_date,phantom_table,F3.1,14
fact_order_events,manual_order_id,phantom_table,F3.1,15
fact_order_events,dept_type,phantom_table,F3.1,16
fact_order_events,solicitation_flag,phantom_table,F3.1,17
fact_order_events,rfq_id,phantom_table,F3.1,18
fact_order_events,side,phantom_table,F3.1,19
fact_order_events,price,phantom_table,F3.1,20
fact_order_events,quantity,phantom_table,F3.1,21
fact_order_events,leaves_quantity,phantom_table,F3.1,22
fact_order_events,parent_order_id,phantom_table,F3.1,23
fact_order_events,min_qty,phantom_table,F3.1,24
fact_order_events,order_type,phantom_table,F3.1,25
fact_order_events,time_in_force,phantom_table,F3.1,26
fact_order_events,trading_session,phantom_table,F3.1,27
fact_order_events,handling_instructions,phantom_table,F3.1,28
fact_order_events,cust_dsp_intr_flag,phantom_table,F3.1,29
fact_order_events,firm_designated_id,phantom_table,F3.1,30
fact_order_events,account_holder_type,phantom_table,F3.1,31
fact_order_events,affiliate_flag,phantom_table,F3.1,32
fact_order_events,info_barrier_id,phantom_table,F3.1,33
fact_order_events,negotiated_trade_flag,phantom_table,F3.1,34
fact_order_events,representative_ind,phantom_table,F3.1,35
fact_order_events,seq_num,phantom_table,F3.1,36
fact_order_events,ats_display_ind,phantom_table,F3.1,37
fact_order_events,display_price,phantom_table,F3.1,38
fact_order_events,working_price,phantom_table,F3.1,39
fact_order_events,display_qty,phantom_table,F3.1,40
fact_order_events,nbb_price,phantom_table,F3.1,41
fact_order_events,nbb_qty,phantom_table,F3.1,42
fact_order_events,nbo_price,phantom_table,F3.1,43
fact_order_events,nbo_qty,phantom_table,F3.1,44
fact_order_events,nbbo_source,phantom_table,F3.1,45
fact_order_events,nbbo_timestamp,phantom_table,F3.1,46
fact_order_events,net_price,phantom_table,F3.1,47
fact_order_events,bfmm_flag,phantom_table,F3.1,48
fact_order_events,originating_imid,phantom_table,F3.1,49
fact_order_events,sender_imid,phantom_table,F3.1,50
fact_order_events,destination,phantom_table,F3.1,51
fact_order_events,destination_type,phantom_table,F3.1,52
fact_order_events,routed_order_id,phantom_table,F3.1,53
fact_order_events,session,phantom_table,F3.1,54
fact_order_events,iso_ind,phantom_table,F3.1,55
fact_order_events,route_rejected_flag,phantom_table,F3.1,56
fact_order_events,multi_leg_ind,phantom_table,F3.1,57
fact_order_events,paired_order_id,phantom_table,F3.1,58
fact_order_events,quote_key_date,phantom_table,F3.1,59
fact_order_events,quote_id,phantom_table,F3.1,60
fact_option_order_events,order_key_date,missing_column,F3.2,123
fact_option_order_events,event_timestamp,missing_column,F3.2,125
fact_option_order_events,manual_flag,missing_column,F3.2,126
fact_option_order_events,manual_order_key_date,missing_column,F3.2,127
fact_option_order_events,manual_order_id,missing_column,F3.2,128
